airport_icao;visibility;wind_speed;wind_direction;rvr;runway_designator_number;runway_designator_side;runway_ils_category;headwind;crosswind;ceiling;weather_phenomenon;ILS;RNAV;RNP;VISUAL
KJFK;10.0;15;200;>6000 ;22;L;CAT III;14.1;5.1;-1.0;None;1;0;0;0
KJFK;10.0;15;200;>6000 ;22;R;CAT III;14.1;5.1;-1.0;None;1;0;0;0
KORD;10.0;14;200;>6000 ;27;C;CAT III;4.8;13.2;25000.0;None;1;0;0;0
KORD;10.0;14;200;>6000 ;27;R;CAT III;4.8;13.2;25000.0;None;1;0;0;0
KORD;10.0;14;200;>6000 ;28;C;CAT III;2.4;13.8;25000.0;None;1;0;0;0
KSFO;10.0;24;270;>6000 ;28;R;CAT III;23.6;4.2;2200.0;None;1;0;0;0
KSFO;10.0;24;270;>6000 ;28;L;CAT III;23.6;4.2;2200.0;None;1;0;0;0
KLAX;10.0;13;250;>6000 ;24;R;No ILS;12.8;2.3;-1.0;None;0;1;1;1
KATL;10.0;7;140;>6000 ;8;L;No ILS;3.5;6.1;-1.0;None;0;0;0;1
KATL;10.0;7;140;>6000 ;9;R;No ILS;4.5;5.4;-1.0;None;0;0;0;1
KATL;10.0;7;140;>6000 ;10;X;No ILS;5.4;4.5;-1.0;None;0;0;0;1
KIAD;10.0;4;180;>6000 ;19;C;CAT III;3.9;0.7;-1.0;None;1;0;0;1
KJFK;10.0;14;200;>6000 ;22;L;CAT III;13.2;4.8;-1.0;None;1;0;0;0
KJFK;10.0;14;200;>6000 ;22;R;CAT III;13.2;4.8;-1.0;None;1;0;0;0
KLAX;10.0;18;240;>6000 ;24;R;No ILS;18.0;0.0;-1.0;None;0;1;1;1
KORD;10.0;10;190;>6000 ;27;C;CAT III;1.7;9.8;25000.0;None;1;0;0;0
KORD;10.0;10;190;>6000 ;27;R;CAT III;1.7;9.8;25000.0;None;1;0;0;0
KORD;10.0;10;190;>6000 ;28;C;CAT III;0.0;10.0;25000.0;None;1;0;0;0
KIAD;10.0;4;160;>6000 ;19;L;CAT III;3.5;2.0;-1.0;None;1;0;0;1
KIAD;10.0;4;160;>6000 ;19;C;CAT III;3.5;2.0;-1.0;None;1;0;0;1
KIAD;10.0;4;160;>6000 ;19;R;CAT III;3.5;2.0;-1.0;None;1;0;0;1
KJFK;10.0;11;200;>6000 ;22;L;CAT III;10.3;3.8;-1.0;None;1;0;0;0
KJFK;10.0;11;200;>6000 ;22;R;CAT III;10.3;3.8;-1.0;None;1;0;0;0
KATL;10.0;7;140;>6000 ;8;L;No ILS;3.5;6.1;-1.0;None;0;0;0;1
KATL;10.0;7;140;>6000 ;9;R;No ILS;4.5;5.4;-1.0;None;0;0;0;1
KATL;10.0;7;140;>6000 ;10;X;No ILS;5.4;4.5;-1.0;None;0;0;0;1
KORD;10.0;9;170;>6000 ;27;C;CAT III;-1.6;8.9;25000.0;None;1;0;0;0
KORD;10.0;9;170;>6000 ;27;R;CAT III;-1.6;8.9;25000.0;None;1;0;0;0
KORD;10.0;9;170;>6000 ;28;C;CAT III;-3.1;8.5;25000.0;None;1;0;0;0
KLAX;10.0;20;240;>6000 ;24;R;No ILS;20.0;0.0;-1.0;None;0;1;1;1
KJFK;10.0;15;210;>6000 ;22;L;CAT III;14.8;2.6;-1.0;None;1;0;0;0
KJFK;10.0;15;210;>6000 ;22;R;CAT III;14.8;2.6;-1.0;None;1;0;0;0
KIAD;10.0;5;160;>6000 ;19;L;CAT III;4.3;2.5;-1.0;None;1;0;0;1
KIAD;10.0;5;160;>6000 ;19;C;CAT III;4.3;2.5;-1.0;None;1;0;0;1
KIAD;10.0;5;160;>6000 ;19;R;CAT III;4.3;2.5;-1.0;None;1;0;0;1
KATL;10.0;5;170;>6000 ;8;L;No ILS;0.0;5.0;-1.0;None;0;0;0;1
KATL;10.0;5;170;>6000 ;9;R;No ILS;0.9;4.9;-1.0;None;0;0;0;1
KATL;10.0;5;170;>6000 ;10;X;No ILS;1.7;4.7;-1.0;None;0;0;0;1
KLAX;10.0;19;260;>6000 ;24;R;No ILS;17.9;6.5;-1.0;None;0;1;1;1
KORD;10.0;9;160;>6000 ;28;C;CAT III;-4.5;7.8;25000.0;None;1;0;0;1
KORD;10.0;9;160;>6000 ;27;C;CAT III;-3.1;8.5;25000.0;None;1;0;0;1
KORD;10.0;9;160;>6000 ;27;R;CAT III;-3.1;8.5;25000.0;None;1;0;0;1
KIAD;10.0;5;150;>6000 ;19;L;CAT III;3.8;3.2;-1.0;None;1;0;0;1
KIAD;10.0;5;150;>6000 ;19;C;CAT III;3.8;3.2;-1.0;None;1;0;0;1
KIAD;10.0;5;150;>6000 ;19;R;CAT III;3.8;3.2;-1.0;None;1;0;0;1
KJFK;10.0;10;220;>6000 ;22;L;CAT III;10.0;0.0;-1.0;None;1;0;0;0
KJFK;10.0;10;220;>6000 ;22;R;CAT III;10.0;0.0;-1.0;None;1;0;0;0
KORD;10.0;8;160;>6000 ;28;C;CAT III;-4.0;6.9;25000.0;None;1;0;0;0
KATL;10.0;5;140;>6000 ;8;L;No ILS;2.5;4.3;-1.0;None;0;0;0;1
KATL;10.0;5;140;>6000 ;9;R;No ILS;3.2;3.8;-1.0;None;0;0;0;1
KATL;10.0;5;140;>6000 ;10;X;No ILS;3.8;3.2;-1.0;None;0;0;0;1
KLAX;10.0;17;260;>6000 ;24;R;No ILS;16.0;5.8;-1.0;None;0;1;1;1
KJFK;10.0;10;240;>6000 ;22;L;CAT III;9.4;3.4;-1.0;None;1;0;0;0
KJFK;10.0;10;240;>6000 ;22;R;CAT III;9.4;3.4;-1.0;None;1;0;0;0
KLAX;10.0;6;250;>6000 ;24;R;No ILS;5.9;1.0;-1.0;None;0;1;1;1
KIAD;10.0;5;170;>6000 ;19;L;CAT III;4.7;1.7;-1.0;None;1;0;0;1
KIAD;10.0;5;170;>6000 ;19;C;CAT III;4.7;1.7;-1.0;None;1;0;0;1
KIAD;10.0;5;170;>6000 ;19;R;CAT III;4.7;1.7;-1.0;None;1;0;0;1
KATL;10.0;5;140;>6000 ;8;L;No ILS;2.5;4.3;-1.0;None;0;0;0;1
KATL;10.0;5;140;>6000 ;9;R;No ILS;3.2;3.8;-1.0;None;0;0;0;1
KATL;10.0;5;140;>6000 ;10;X;No ILS;3.8;3.2;-1.0;None;0;0;0;1
KORD;10.0;8;180;>6000 ;28;C;CAT III;-1.4;7.9;21000.0;None;1;0;0;0
KJFK;10.0;9;240;>6000 ;22;L;No ILS;8.5;3.1;-1.0;None;0;1;0;0
KLAX;10.0;9;230;>6000 ;24;R;No ILS;8.9;1.6;-1.0;None;0;1;1;1
KIAD;10.0;5;180;>6000 ;19;L;CAT III;4.9;0.9;-1.0;None;1;0;0;1
KIAD;10.0;5;180;>6000 ;19;R;CAT III;4.9;0.9;-1.0;None;1;0;0;1
KATL;10.0;4;130;>6000 ;8;L;No ILS;2.6;3.1;-1.0;None;0;0;0;1
KATL;10.0;4;130;>6000 ;9;R;No ILS;3.1;2.6;-1.0;None;0;0;0;1
KATL;10.0;4;130;>6000 ;10;X;No ILS;3.5;2.0;-1.0;None;0;0;0;1
KIAD;10.0;4;200;>6000 ;19;L;CAT III;3.9;0.7;-1.0;None;1;0;0;1
KIAD;10.0;4;200;>6000 ;19;R;CAT III;3.9;0.7;-1.0;None;1;0;0;1
KATL;10.0;4;130;>6000 ;8;L;No ILS;2.6;3.1;-1.0;None;0;0;0;1
KATL;10.0;4;130;>6000 ;10;X;No ILS;3.5;2.0;-1.0;None;0;0;0;1
KLAX;10.0;3;210;>6000 ;24;R;No ILS;2.6;1.5;-1.0;None;0;1;1;1
KSFO;10.0;14;250;>6000 ;28;R;CAT III;12.1;7.0;-1.0;None;1;0;0;0
KSFO;10.0;14;250;>6000 ;28;L;CAT III;12.1;7.0;-1.0;None;1;0;0;0
KJFK;10.0;9;250;>6000 ;22;L;No ILS;7.8;4.5;-1.0;None;0;1;0;0
KORD;10.0;13;180;>6000 ;27;C;CAT III;0.0;13.0;18000.0;None;1;0;0;0
KIAD;10.0;4;190;>6000 ;19;L;CAT III;4.0;0.0;9000.0;None;1;0;0;1
KIAD;10.0;4;190;>6000 ;19;R;CAT III;4.0;0.0;9000.0;None;1;0;0;1
KSFO;10.0;11;250;>6000 ;28;R;CAT III;9.5;5.5;20000.0;None;1;0;0;0
KATL;10.0;4;120;>6000 ;8;L;No ILS;3.1;2.6;25000.0;None;0;0;0;1
KATL;10.0;4;120;>6000 ;10;X;No ILS;3.8;1.4;25000.0;None;0;0;0;1
KJFK;10.0;10;240;>6000 ;22;L;No ILS;9.4;3.4;-1.0;None;0;1;0;0
KLAX;10.0;4;80;>6000 ;24;R;No ILS;-3.8;1.4;-1.0;None;0;1;1;1
KORD;10.0;11;190;>6000 ;27;C;CAT III;1.9;10.8;7000.0;None;1;0;0;0
KIAD;10.0;3;190;>6000 ;19;L;CAT III;3.0;0.0;9500.0;None;1;0;0;1
KIAD;10.0;3;190;>6000 ;19;R;CAT III;3.0;0.0;9500.0;None;1;0;0;1
KSFO;10.0;10;250;>6000 ;28;R;CAT III;8.7;5.0;1900.0;None;1;0;0;0
KLAX;10.0;8;50;>6000 ;24;R;No ILS;-7.9;1.4;24000.0;None;0;1;1;1
KATL;10.0;6;140;>6000 ;8;L;No ILS;3.0;5.2;-1.0;None;0;0;0;1
KATL;10.0;6;140;>6000 ;10;X;No ILS;4.6;3.9;-1.0;None;0;0;0;1
KORD;10.0;12;190;>6000 ;27;C;CAT III;2.1;11.8;7500.0;None;1;0;0;0
KJFK;10.0;9;240;>6000 ;22;L;No ILS;8.5;3.1;-1.0;None;0;1;0;0
KIAD;10.0;7;170;>6000 ;19;L;CAT III;6.6;2.4;8000.0;None;1;0;0;1
KIAD;10.0;7;170;>6000 ;19;R;CAT III;6.6;2.4;8000.0;None;1;0;0;1
KSFO;10.0;6;240;>6000 ;28;R;CAT III;4.6;3.9;1800.0;None;1;0;0;0
KORD;10.0;9;180;>6000 ;28;R;CAT III;-1.6;8.9;4000.0;None;1;0;0;0
KATL;10.0;6;130;>6000 ;8;L;No ILS;3.9;4.6;-1.0;None;0;0;0;1
KATL;10.0;6;130;>6000 ;10;X;No ILS;5.2;3.0;-1.0;None;0;0;0;1
KLAX;10.0;8;70;>6000 ;6;R;No ILS;7.9;1.4;24000.0;None;0;1;1;1
KJFK;10.0;9;250;>6000 ;22;L;No ILS;7.8;4.5;-1.0;None;0;1;0;0
KATL;10.0;6;120;>6000 ;8;L;No ILS;4.6;3.9;-1.0;None;0;0;0;1
KATL;10.0;6;120;>6000 ;10;X;No ILS;5.6;2.1;-1.0;None;0;0;0;1
KJFK;10.0;9;240;>6000 ;22;L;No ILS;8.5;3.1;-1.0;None;0;1;0;0
KIAD;10.0;5;180;>6000 ;19;L;CAT III;4.9;0.9;7000.0;None;1;0;0;1
KIAD;10.0;5;180;>6000 ;19;R;CAT III;4.9;0.9;7000.0;None;1;0;0;1
KSFO;10.0;6;260;>6000 ;28;R;CAT III;5.6;2.1;1800.0;None;1;0;0;0
KLAX;10.0;9;80;>6000 ;6;R;No ILS;8.5;3.1;-1.0;None;0;1;1;1
KORD;10.0;8;200;>6000 ;28;R;CAT III;1.4;7.9;4100.0;None;1;0;0;0
KIAD;10.0;5;180;>6000 ;19;L;CAT III;4.9;0.9;7500.0;None;1;0;0;1
KIAD;10.0;5;180;>6000 ;19;R;CAT III;4.9;0.9;7500.0;None;1;0;0;1
KLAX;10.0;6;80;>6000 ;6;R;No ILS;5.6;2.1;-1.0;None;0;1;1;1
KATL;10.0;7;120;>6000 ;8;L;No ILS;5.4;4.5;25000.0;None;0;0;0;1
KATL;10.0;7;120;>6000 ;10;X;No ILS;6.6;2.4;25000.0;None;0;0;0;1
KORD;10.0;10;190;>6000 ;28;R;CAT III;0.0;10.0;8000.0;None;1;0;0;0
