airport_icao;visibility;wind_speed;wind_gust;wind_direction;rvr;rvr_tendency;runway_designator_number;runway_designator_side;runway_ils_category;headwind;crosswind;ceiling;weather_phenomenon;ILS;RNAV;RNP;VISUAL
KORD;10.0;16;0;40;6000.0;Excellent;9;L;CAT III;10.3;-12.3;30000;No Phenomenon;1;0;0;1
KORD;10.0;16;0;40;6000.0;Excellent;10;C;CAT III;8.0;-13.9;30000;No Phenomenon;1;0;0;1
KORD;10.0;16;0;40;6000.0;Excellent;10;R;CAT III;8.0;-13.9;30000;No Phenomenon;1;0;0;1
KIAD;10.0;9;0;200;6000.0;Excellent;19;C;CAT III;8.9;1.6;99999;No Phenomenon;1;0;0;1
KIAD;10.0;9;0;200;6000.0;Excellent;19;L;CAT III;8.9;1.6;99999;No Phenomenon;1;0;0;1
KIAD;10.0;9;0;200;6000.0;Excellent;19;R;CAT III;8.9;1.6;99999;No Phenomenon;1;0;0;1
KLAX;9.0;10;17;60;6000.0;Excellent;6;L;CAT III;10.0;0.0;3400;-RA;0;0;1;1
KLAX;9.0;10;17;60;6000.0;Excellent;7;R;CAT I;9.8;-1.7;3400;-RA;0;0;1;1
KLAX;9.0;10;17;60;6000.0;Excellent;24;R;CAT III;-10.0;0.0;3400;-RA;0;0;1;1
KLAX;9.0;10;17;60;6000.0;Excellent;25;R;CAT III;-9.8;1.7;3400;-RA;0;0;1;1
KATL;10.0;7;0;220;6000.0;Excellent;26;R;CAT II;5.4;-4.5;99999;No Phenomenon;0;0;0;1
KJFK;10.0;16;0;200;6000.0;Excellent;13;L;CAT II;5.5;15.0;25000;No Phenomenon;0;1;0;0
KJFK;10.0;16;0;200;6000.0;Excellent;22;L;CAT III;15.0;-5.5;25000;No Phenomenon;0;1;0;0
KSFO;10.0;14;0;250;6000.0;Excellent;28;L;CAT II;12.1;-7.0;99999;No Phenomenon;0;0;0;1
KSFO;10.0;14;0;250;6000.0;Excellent;28;R;CAT III;12.1;-7.0;99999;No Phenomenon;0;0;0;1
KORD;10.0;16;0;40;6000.0;Excellent;9;L;CAT III;10.3;-12.3;30000;No Phenomenon;1;0;0;1
KORD;10.0;16;0;40;6000.0;Excellent;10;C;CAT III;8.0;-13.9;30000;No Phenomenon;1;0;0;1
KORD;10.0;16;0;40;6000.0;Excellent;10;R;CAT III;8.0;-13.9;30000;No Phenomenon;1;0;0;1
KORD;10.0;11;0;30;6000.0;Excellent;10;C;CAT III;3.8;-10.3;25000;No Phenomenon;1;0;0;0
KSFO;10.0;13;22;240;6000.0;Excellent;28;L;CAT II;10.0;-8.4;2400;No Phenomenon;0;0;0;1
KSFO;10.0;13;22;240;6000.0;Excellent;28;R;CAT III;10.0;-8.4;2400;No Phenomenon;0;0;0;1
KLAX;10.0;7;0;70;6000.0;Excellent;6;L;CAT III;6.9;1.2;4400;No Phenomenon;0;0;1;0
KLAX;10.0;7;0;70;6000.0;Excellent;7;R;CAT I;7.0;0.0;4400;No Phenomenon;0;0;1;0
KLAX;10.0;7;0;70;6000.0;Excellent;24;R;CAT III;-6.9;-1.2;4400;No Phenomenon;0;0;1;0
KLAX;10.0;7;0;70;6000.0;Excellent;25;R;CAT III;-7.0;0.0;4400;No Phenomenon;0;0;1;0
KATL;10.0;4;0;250;6000.0;Excellent;26;R;CAT II;3.9;-0.7;99999;No Phenomenon;0;0;0;1
KIAD;10.0;7;0;200;6000.0;Excellent;19;C;CAT III;6.9;1.2;99999;No Phenomenon;1;0;0;1
KIAD;10.0;7;0;200;6000.0;Excellent;19;L;CAT III;6.9;1.2;99999;No Phenomenon;1;0;0;1
KIAD;10.0;7;0;200;6000.0;Excellent;19;R;CAT III;6.9;1.2;99999;No Phenomenon;1;0;0;1
KJFK;10.0;8;0;220;6000.0;Excellent;13;L;CAT II;0.0;8.0;99999;No Phenomenon;0;1;0;0
KJFK;10.0;8;0;220;6000.0;Excellent;22;L;CAT III;8.0;0.0;99999;No Phenomenon;0;1;0;0
KORD;10.0;12;0;30;6000.0;Excellent;10;C;CAT III;4.1;-11.3;25000;No Phenomenon;1;0;0;0
KSFO;10.0;13;0;230;6000.0;Excellent;28;L;CAT II;8.4;-10.0;1900;No Phenomenon;1;0;0;0
KSFO;10.0;13;0;230;6000.0;Excellent;28;R;CAT III;8.4;-10.0;1900;No Phenomenon;1;0;0;0
KIAD;10.0;3;0;220;6000.0;Excellent;19;C;CAT III;2.6;1.5;99999;No Phenomenon;1;0;0;1
KIAD;10.0;3;0;220;6000.0;Excellent;19;L;CAT III;2.6;1.5;99999;No Phenomenon;1;0;0;1
KLAX;10.0;6;0;70;6000.0;Excellent;6;L;CAT III;5.9;1.0;99999;No Phenomenon;0;0;1;0
KLAX;10.0;6;0;70;6000.0;Excellent;7;R;CAT I;6.0;0.0;99999;No Phenomenon;0;0;1;0
KLAX;10.0;6;0;70;6000.0;Excellent;24;R;CAT III;-5.9;-1.0;99999;No Phenomenon;0;0;1;0
KLAX;10.0;6;0;70;6000.0;Excellent;25;R;CAT III;-6.0;0.0;99999;No Phenomenon;0;0;1;0
KATL;10.0;3;0;230;6000.0;Excellent;26;R;CAT II;2.6;-1.5;99999;No Phenomenon;0;0;0;1
KIAD;10.0;5;0;210;6000.0;Excellent;19;C;CAT III;4.7;1.7;99999;No Phenomenon;1;0;0;1
KJFK;10.0;6;0;200;6000.0;Excellent;22;L;CAT III;5.6;-2.1;99999;No Phenomenon;0;1;0;0
KSFO;10.0;3;0;-1;6000.0;Excellent;28;L;CAT II;0.6;2.9;1800;No Phenomenon;0;0;0;1
KSFO;10.0;3;0;-1;6000.0;Excellent;28;R;CAT III;0.6;2.9;1800;No Phenomenon;0;0;0;1
KLAX;10.0;6;0;50;6000.0;Excellent;6;L;CAT III;5.9;-1.0;99999;No Phenomenon;0;0;1;0
KLAX;10.0;6;0;50;6000.0;Excellent;7;R;CAT I;5.6;-2.1;99999;No Phenomenon;0;0;1;0
KLAX;10.0;6;0;50;6000.0;Excellent;24;R;CAT III;-5.9;1.0;99999;No Phenomenon;0;0;1;0
KLAX;10.0;6;0;50;6000.0;Excellent;25;R;CAT III;-5.6;2.1;99999;No Phenomenon;0;0;1;0
KATL;10.0;5;0;240;6000.0;Excellent;26;R;CAT II;4.7;-1.7;99999;No Phenomenon;0;0;0;1
KORD;10.0;12;0;30;6000.0;Excellent;10;C;CAT III;4.1;-11.3;99999;No Phenomenon;1;0;0;0
KIAD;10.0;5;0;190;6000.0;Excellent;19;C;CAT III;5.0;0.0;99999;No Phenomenon;1;0;0;1
KLAX;10.0;7;0;60;6000.0;Excellent;6;L;CAT III;7.0;0.0;99999;No Phenomenon;0;0;1;0
KLAX;10.0;7;0;60;6000.0;Excellent;7;R;CAT I;6.9;-1.2;99999;No Phenomenon;0;0;1;0
KLAX;10.0;7;0;60;6000.0;Excellent;24;R;CAT III;-7.0;0.0;99999;No Phenomenon;0;0;1;0
KLAX;10.0;7;0;60;6000.0;Excellent;25;R;CAT III;-6.9;1.2;99999;No Phenomenon;0;0;1;0
KJFK;10.0;0;0;0;6000.0;Excellent;22;L;CAT III;-0.0;0.0;99999;No Phenomenon;0;1;0;0
KATL;10.0;6;0;250;6000.0;Excellent;27;L;CAT II;5.6;-2.1;99999;No Phenomenon;0;0;0;1
KATL;10.0;6;0;250;6000.0;Excellent;28;X;CAT II;5.2;-3.0;99999;No Phenomenon;0;0;0;1
KORD;10.0;9;0;40;6000.0;Excellent;10;C;CAT III;4.5;-7.8;99999;No Phenomenon;1;0;0;0
KSFO;10.0;6;0;130;6000.0;Excellent;28;L;CAT II;-5.2;-3.0;2100;No Phenomenon;1;0;0;0
KSFO;10.0;6;0;130;6000.0;Excellent;28;R;CAT III;-5.2;-3.0;2100;No Phenomenon;1;0;0;0
KIAD;10.0;5;0;190;6000.0;Excellent;19;C;CAT III;5.0;0.0;99999;No Phenomenon;1;0;0;1
KATL;10.0;6;0;250;6000.0;Excellent;27;L;CAT II;5.6;-2.1;99999;No Phenomenon;0;0;0;1
